City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
8,izazi,-7.2,35.7333,66.61,76,1,3.8,TZ,2023-05-29 17:59:22,No hotel found
33,praia da vitoria,38.7333,-27.0667,64.65,88,20,1.1,PT,2023-05-29 17:59:33,Salles
48,maceio,-9.6658,-35.7353,78.24,83,20,3.44,BR,2023-05-29 17:59:40,No hotel found
54,buka,40.8108,69.1986,67.73,30,0,3.15,UZ,2023-05-29 17:59:42,No hotel found
71,crane,31.3974,-102.3501,90.0,21,0,3.15,US,2023-05-29 17:59:49,No hotel found
109,lai chau,22.3997,103.4517,68.76,88,0,0.16,VN,2023-05-29 18:00:24,Minh Tuan Hotel
143,linqiong,30.4159,103.4609,75.02,74,5,2.15,CN,2023-05-29 18:01:03,No hotel found
145,ghormach,35.7306,63.7826,69.91,17,0,2.93,AF,2023-05-29 18:01:08,No hotel found
160,machico,32.7,-16.7667,69.01,82,20,3.44,PT,2023-05-29 18:01:22,No hotel found
167,athens,37.9795,23.7162,70.66,73,20,4.0,GR,2023-05-29 17:57:42,Eridanus
187,tubarjal,30.4999,38.216,73.67,67,17,4.07,SA,2023-05-29 18:01:51,No hotel found
202,mutuali,-14.8706,37.0044,62.35,72,2,3.87,MZ,2023-05-29 18:02:02,No hotel found
220,koungou,-12.7336,45.2042,76.71,83,0,1.14,YT,2023-05-29 18:02:22,No hotel found
242,dehdasht,30.7949,50.5646,82.33,23,15,3.13,IR,2023-05-29 18:02:43,No hotel found
251,mankachar,25.5333,89.8667,81.48,59,1,1.7,IN,2023-05-29 18:02:49,No hotel found
273,remire-montjoly,4.9167,-52.2667,78.84,94,0,0.0,GF,2023-05-29 18:02:56,No hotel found
291,nossa senhora das dores,-10.4917,-37.1933,70.34,92,9,4.23,BR,2023-05-29 17:59:14,No hotel found
298,raja,8.4596,25.678,72.46,83,18,3.83,SS,2023-05-29 18:03:09,No hotel found
309,norfolk county,42.1668,-71.2495,68.45,45,0,1.99,US,2023-05-29 17:59:45,No hotel found
338,wanning,18.8003,110.3967,76.6,89,20,4.03,CN,2023-05-29 18:03:33,No hotel found
348,malango,-2.9627,119.9001,65.46,98,5,1.83,ID,2023-05-29 18:03:39,Madarana
371,yuxi,24.355,102.5422,64.9,80,0,1.52,CN,2023-05-29 18:03:51,宏盛酒店 A座
375,chibougamau,49.9168,-74.3659,69.42,19,0,3.44,CA,2023-05-29 18:03:53,No hotel found
404,lichinga,-13.3128,35.2406,60.89,77,0,2.3,MZ,2023-05-29 18:04:03,No hotel found
407,tabas,33.5959,56.9244,84.79,13,8,3.91,IR,2023-05-29 18:04:06,No hotel found
426,vicuna,-30.0319,-70.7081,72.77,37,6,2.91,CL,2023-05-29 18:01:59,No hotel found
474,woodward,36.4337,-99.3904,88.83,36,0,0.0,US,2023-05-29 18:04:51,No hotel found
478,guilin,25.2819,110.2864,73.51,89,1,1.1,CN,2023-05-29 18:04:52,丰源酒店
485,barra,-11.0894,-43.1417,81.0,46,24,2.86,BR,2023-05-29 18:04:55,No hotel found
493,santa maria do suacui,-18.1903,-42.4142,68.85,68,22,3.47,BR,2023-05-29 18:04:57,Suaçuí Hotel
504,tura,25.5198,90.2201,75.69,66,4,2.73,IN,2023-05-29 18:05:01,No hotel found
526,nadi,-17.8,177.4167,84.2,74,20,4.61,FJ,2023-05-29 18:05:20,President Hotel
538,mersa matruh,31.3525,27.2453,68.2,83,0,2.3,EG,2023-05-29 18:05:28,صقور
547,ibotirama,-12.1853,-43.2206,80.15,38,13,3.38,BR,2023-05-29 18:05:35,Glória Palace Hotel
580,pumiao,22.75,108.4833,77.4,77,1,1.88,CN,2023-05-29 18:05:57,No hotel found
588,heyuan,23.7333,114.6833,79.88,86,4,0.63,CN,2023-05-29 18:06:00,No hotel found
