City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chifeng,42.2683,118.9636,64.99,52,98,6.85,CN,2023-05-28 18:58:42
1,waitangi,-43.9535,-176.5597,58.82,86,52,5.99,NZ,2023-05-28 18:58:22
2,uturoa,-16.7333,-151.4333,81.52,75,77,21.27,PF,2023-05-28 18:58:43
3,puerto natales,-51.7236,-72.4875,39.79,97,100,3.6,CL,2023-05-28 18:58:22
4,mount gambier,-37.8333,140.7667,54.79,84,94,7.14,AU,2023-05-28 18:58:43
5,south hedland,-20.4089,118.5983,53.53,40,54,8.05,AU,2023-05-28 18:58:43
6,port-aux-francais,-49.35,70.2167,43.59,98,99,14.34,TF,2023-05-28 18:58:17
7,thulamahashi,-24.7246,31.1994,57.7,73,1,4.94,ZA,2023-05-28 18:58:44
8,susuman,62.7833,148.1667,50.61,33,91,3.78,RU,2023-05-28 18:58:44
9,mil'kovo,55.6078,37.7956,49.51,72,1,5.57,RU,2023-05-28 18:58:44
10,tiksi,71.6872,128.8694,34.23,100,62,6.24,RU,2023-05-28 18:58:45
11,anadyr,64.75,177.4833,45.1,70,0,11.18,RU,2023-05-28 18:58:45
12,brandon,27.9378,-82.2859,84.97,56,0,9.22,US,2023-05-28 18:58:45
13,ushuaia,-54.8,-68.3,46.06,81,75,20.71,AR,2023-05-28 18:58:45
14,mocimboa,-11.3167,40.35,70.86,88,1,7.0,MZ,2023-05-28 18:58:46
15,inhambane,-23.865,35.3833,69.55,86,1,7.16,MZ,2023-05-28 18:58:46
16,sitka,57.0531,-135.33,48.09,76,100,6.91,US,2023-05-28 18:58:46
17,west island,-12.1568,96.8225,80.58,78,40,4.61,CC,2023-05-28 18:58:21
18,albany,42.6001,-73.9662,84.16,51,1,4.72,US,2023-05-28 18:58:23
19,punta arenas,-53.15,-70.9167,46.51,81,40,8.05,CL,2023-05-28 18:58:47
20,dudinka,69.4058,86.1778,45.0,85,100,5.91,RU,2023-05-28 18:58:25
21,badger,64.8,-147.5333,64.51,41,40,9.22,US,2023-05-28 18:58:48
22,port lincoln,-34.7333,135.8667,59.81,88,64,9.53,AU,2023-05-28 18:58:48
23,beauceville,46.2179,-70.7787,80.26,26,69,8.05,CA,2023-05-28 18:58:48
24,fale old settlement,-9.3852,-171.2468,83.25,78,64,15.03,TK,2023-05-28 18:58:48
25,bria,6.5423,21.9863,71.74,90,99,2.35,CF,2023-05-28 18:58:48
26,port mathurin,-19.6833,63.4167,75.74,74,99,23.91,MU,2023-05-28 18:55:16
27,stanley,54.868,-1.6985,46.89,90,20,2.3,GB,2023-05-28 18:52:23
28,el battan,36.8037,9.8442,69.48,70,100,4.29,TN,2023-05-28 18:58:49
29,grytviken,-54.2811,-36.5092,30.18,85,89,15.68,GS,2023-05-28 18:58:18
30,ribeira grande,38.5167,-28.7,62.78,84,23,1.01,PT,2023-05-28 18:58:51
31,moranbah,-22.0016,148.0466,58.05,37,0,14.63,AU,2023-05-28 18:58:51
32,dakhla,23.6848,-15.958,66.83,76,100,14.9,EH,2023-05-28 18:58:51
33,bethel,41.3712,-73.414,78.4,45,57,1.99,US,2023-05-28 18:58:27
34,wailua homesteads,22.0669,-159.378,77.43,85,100,8.05,US,2023-05-28 18:58:52
35,ostersund,63.1792,14.6357,36.61,41,77,19.57,SE,2023-05-28 18:54:34
36,kayangel,8.0823,134.7173,84.16,76,100,13.73,PW,2023-05-28 18:58:52
37,nuuk,64.1835,-51.7216,38.88,64,31,15.99,GL,2023-05-28 18:58:52
38,york,40.1254,-77.0,76.19,27,20,6.91,US,2023-05-28 18:56:54
39,anar darah,32.7587,61.654,74.71,16,0,11.32,AF,2023-05-28 18:58:53
40,hermanus,-34.4187,19.2345,55.8,85,94,18.99,ZA,2023-05-28 18:58:21
41,marsh harbour,26.5412,-77.0636,82.35,66,36,3.44,BS,2023-05-28 18:58:53
42,inhapi,-9.2214,-37.7486,70.92,90,68,7.14,BR,2023-05-28 18:58:53
43,st. john's,47.5649,-52.7093,60.19,57,75,21.85,CA,2023-05-28 18:58:32
44,ancud,-41.8697,-73.8203,42.87,83,100,2.51,CL,2023-05-28 18:58:54
45,adamstown,-25.066,-130.1015,69.69,54,99,16.06,PN,2023-05-28 18:58:17
46,new kingman-butler,35.265,-114.0323,88.83,1,0,19.93,US,2023-05-28 18:58:54
47,onguday,50.75,86.15,39.69,85,100,1.77,RU,2023-05-28 18:58:54
48,ulladulla,-35.35,150.4667,58.98,56,37,10.22,AU,2023-05-28 18:58:55
49,longyearbyen,78.2186,15.6401,31.84,59,75,9.22,SJ,2023-05-28 18:58:55
50,nadi,-17.8,177.4167,84.2,74,40,3.44,FJ,2023-05-28 18:58:55
51,soure,-0.7167,-48.5233,79.0,87,94,8.9,BR,2023-05-28 18:58:55
52,bilibino,68.0546,166.4372,36.81,99,100,7.07,RU,2023-05-28 18:58:19
53,iwanai,42.9744,140.5089,58.03,98,100,3.04,JP,2023-05-28 18:58:56
54,college,64.8569,-147.8028,64.58,43,100,9.22,US,2023-05-28 18:58:56
55,bardai,11.65,7.2333,83.16,52,76,9.44,NG,2023-05-28 18:58:56
