City,Country,Lat,Lng,Humidity,Hotel Name
saskatoon,CA,52.1168,-106.6345,44,Colonial Square Inn & Suites
island harbour,GB,50.724,-1.2758,81,Premier Inn
lata,PT,40.1629,-8.3327,88,Residencial Botânico
prince george,CA,53.9166,-122.753,41,Travelodge by Wyndham Prince George
saint-paul,RE,-21.0096,55.2707,95,Hôtel d'application
palembang,ID,-2.9167,104.7458,94,OYO 183 The Pipe House
barcelos,PT,41.5388,-8.6151,73,Hotel Dom Nuno
manado,ID,1.487,124.8455,100,Swiss Belhotel
nurota,UZ,40.5614,65.6886,22,Nurota
ambodifotatra,MG,-16.9833,49.85,74,Les Palmiers
nadi,FJ,-17.8,177.4167,88,President Hotel
aghsu,AZ,40.5703,48.4009,62,Ağsu Rəncbər Otel
dryden,CA,49.7833,-92.7503,31,Holiday Inn Express
